ID,sample_name,sample_info
Fc16YH_QC01,Fc16YH_QC01,QC
Fc16YH_QC02,Fc16YH_QC02,QC
Fc16YH_QC03,Fc16YH_QC03,QC
Fc16YH_CD1,Fc16YH_CD1,Clostridium difficile infection
Fc16YH_CD2,Fc16YH_CD2,Clostridium difficile infection
Fc16YH_CD3,Fc16YH_CD3,Clostridium difficile infection
Fc16YH_CD4,Fc16YH_CD4,Clostridium difficile infection
Fc16YH_CD5,Fc16YH_CD5,Clostridium difficile infection
Fc16YH_CD6,Fc16YH_CD6,Clostridium difficile infection
Fc16YH_FE1,Fc16YH_FE1,high iron diet before
Fc16YH_FE2,Fc16YH_FE2,high iron diet before
Fc16YH_FE3,Fc16YH_FE3,high iron diet before
Fc16YH_FE4,Fc16YH_FE4,high iron diet before
Fc16YH_FE5,Fc16YH_FE5,high iron diet before
Fc16YH_FE6,Fc16YH_FE6,high iron diet before
Fc16YH_NC1,Fc16YH_NC1,Standard (control)
Fc16YH_NC2,Fc16YH_NC2,Standard (control)
Fc16YH_NC3,Fc16YH_NC3,Standard (control)
Fc16YH_NC4,Fc16YH_NC4,Standard (control)
Fc16YH_NC5,Fc16YH_NC5,Standard (control)
Fc16YH_NC6,Fc16YH_NC6,Standard (control)
